form	sense	pos
ga-suljan	das Fundament legen, begründen	Verb
suman	teils __ teils __ teils	Adverb
sums	irgend einer, ein gewisser, jemand, einer	Pronoun, indefinite
sundro	abgesondert, besonders, allein	Adverb
sunja	Wahrheit	Noun, common, feminine
Sunjaifriþas	Sunjaifriþas	Noun, proper
sunjeins	wahr, wahrhaft	Adjective
sunjis*	wahrhaft	Adjective
sunjon	entschuldigen	Verb
ga-sunjon	rechtfertigen	Verb
sunjons	Verteidigung	Noun, common, feminine
sunno	Sonne	Noun, common
suns	alsbald, plötzlich, auf einmal	Adverb
sunsaiw	sogleich	Adverb
sunsei	sobald als	Conjunction
sunus	Sohn	Noun, common, masculine
supon	würzen	Verb
ga-supon	würzen	Verb
†suqnis	wegen deines Magens	Noun, common
Susanna	Susanna	Noun, proper
sutis	nachgiebig, mild	Adjective
suþjan	kitzeln	Verb
suþjon	suþjon	Verb
swa	so	Adverb
swaei	so daß, daher, also	Conjunction
af-swaggwjan	schwankend machen	Verb
swah	so 	Adverb
swaihra	Schwiegervater	Noun, common, masculine
swaihro	Schwiegermutter	Noun, common, feminine
af-swairban	abwischen, auslöschen	Verb
bi-swairban	abwischen, abtrocknen mit	Verb
swalauþs	so groß	Adjective
swaleiks	so beschaffen, ein solcher	Adjective
swamm	Schwamm	Noun, common
swaran	schwören	Verb
bi-swaran	beschwören	Verb
ufar-swaran	falsch schwören	Verb
sware	ohne Grund, vergebens, umsonst	Adverb
swartiza	Tinte	Noun, common
swartizla	swartizla	<none>
swarts	schwarz	Adjective
swaswe	sowie, gleichwie, wie	Adverb
swaþþan	so nun	Unassigned
swau	so	Unassigned
swe	wie	Adverb
swegniþa	Jubel, Frohlocken	Noun, common, feminine
swegnjan	jubeln, triumphieren	Verb
sweiban	ablassen	Verb
swein	Schwein	Noun, common, neuter
sweran	ehren	Verb
ga-sweran	verherrlichen	Verb
un-sweran	verunehren, beschimpfen	Verb
sweriþa	Ehre	Noun, common, feminine
swers	geehrt, geachtet	Adjective
swes	eigen, angehörig	Adjective
swes	Eigentum, Vermögen	Noun, common, neuter
sweþauh	doch zwar, wenigstens	Particle
swibla	Schwefel	Noun, common
swiglja*	Flötenspieler	Noun, common, masculine
swiglon	Flöte blasen, aufspielen	Verb
swigniþa, swignjan	Jubel, Frohlocken	<none>
swiknei	Reinheit, Keuschheit	Noun, common, feminine
swikneins*	Reinigung	Noun, common, feminine
swikniþa	Reinheit, Keuschheit	Noun, common, feminine
swikns	rein, unschuldig; unsträflich	Adjective
ga-swikunþjan	etw. bekannt geben	Verb
swikunþs	offenkundig, offenbar, bekannt	Adjective
swiltan	im Sterben liegen	Verb
ga-swiltan	sterben	Verb
miþ-gaswiltan	miþ-gaswiltan	Verb
swinþei	Stärke, Kraft	Noun, common, feminine
ga-swinþjan	stärken	Verb
in-swinþjan	stärken	Verb
swinþnan	stark werden	Verb
ga-swinþnan	erstarken	Verb
swinþs	stark, kräftig, gesund	Adjective
swistar	Schwester	Noun, common, feminine
Swmaion	Swmaion	Noun, proper
swnagogafaþs*	Synagogenvorsteher	Noun, common, masculine
swnagoge*	swnagoge*	Noun, common, feminine
Swntwke*	Swntwke*	Noun, proper
swogatjan	seufzen	Verb
ga-swogjan	erseufzen	Verb
uf-swogjan	aufseufzen	Verb
Swria*	Swria*	Noun, proper
swultawairþja	dem Tode nahe	Noun, common, masculine
swumfsl	Teich	Noun, common, neuter
tagl	Haar	Noun, common, neuter
tagr	Zähre, Träne	Noun, common, neuter
tagrjan	weinen	Verb
tahjan	reißen, zerren	Verb
dis-tahjan	zerstreuen	Verb
taihswa	rechts	Adjective
taihswa	die Rechte	Noun, common, feminine
taihun	zehn	Numeral, cardinal
taihunda	der zehnte	Numeral, ordinal
taihuntaihundfalþs	hundertfältig	Adjective
taihuntehund	 Hundert	Numeral, cardinal
taihunteweis*	mit fünf zehnreihigen  Hundert	Adjective
taikn	Anzeichnen	Noun, common, neuter
taiknjan	einem etwas Zeigen	Verb
ga-taiknjan	ein Zeichen geben, belehren	Verb
us-taiknjan	bezeichnen; auszeichnen; erweisen	Verb
taikns	Zeichen, Wunder	Noun, common, feminine
tainjo	korb	Noun, common, feminine
tains	Zweig	Noun, common, masculine
dis-tairan	zerreißen	Verb
ga-tairan	zerreißen, zerstören, aufheben	Verb
Tairtius	Tairtius	Noun, proper
taitrarkes	taitrarkes	Noun, common
taleiþa	Mägdlein	Foreign word
talzeins*	Lehre, Unterweisung	Noun, common, feminine
talzjan	lehren, ziehen, unterrichten	Verb
talzjands	Lehrer	Noun, common
ga-talzjan	belehren, erziehen	Verb
ga-tamjan	bezähmen, bezwingen	Verb
tandjan	brennen machen, zünden	Verb
ga-tandjan	mit einem Brandmal versehn	Verb
in-tandjan	in Brand setzen, verbrennen	Verb
ga-tarhjan	kennzeichnen	Verb
tarmjan	brich los, brich in Jubel aus	Verb
ga-tarnjan	berauben	Verb
taui	Werk, Tat	Noun, common, neuter
taujan	tun, machen	Verb
ga-taujan	, vollbringen, bewirken	Verb
missa-taujan	Übeltäter	Verb
af-taurnan	abreißen	Verb
dis-taurnan	zerreißen	Verb
ga-taurnan	was zu nichte wird, das Vergängliche	Verb
Teibairius	Teibairius	Noun, proper
ga-teihan	anzeigen, verkündigen	Verb
faura-gateihan	vorherverkündigen, vorhersagen	Verb
teikan	anrühren	<none>
Teimaius	Teimaius	Noun, proper
Teimauþaius	Teimauþaius	Noun, proper
Teitus	Teitus	Noun, proper
tekan	anrühren	Verb
at-tekan	berühren	Verb
tewa*	Ordnung	Noun, common, feminine
ga-tewjan	durch Wahl bestimmt, verordnet	Verb
Tibairiadau	Tibairiadau	Noun, proper
Tibairiadeis	Bewohner von Tiberias	Noun, proper
tigjus*	Dekaden; bildet die Zehner von	Unassigned
and-tilon	einem anhangen	Verb
ga-tilon	erlangen	Verb
ga-gátilon	zusammenfügen	Verb
til	damit sie Gelegenheit fänden ihn anzuklagen	Unassigned
ga-timan	geziemen für 	Verb
timbrjan	bauen	<none>
timreins	Erbauung	Noun, common, feminine
timrja	Zimmermann	Noun, common, masculine
timrjan	bauen	Verb
ana-timrjan	daraufbauen	Verb
ga-timrjan	erbauen	Verb
miþ-gatimrjan	mit	Verb
tiuhan	ziehn, führen	Verb
af-tiuhan	wegziehn	Verb
at-tiuhan	herbeiziehn, herbeiführen, herbeibringen	Verb
inn-attiuhan	hineinziehn, hineinführen	Verb
bi-tiuhan	 umherführen	Verb
ga-tiuhan	wegziehn, wegführen	Verb
miþ-gatiuhan	mit	Verb
us-tiuhan	hinausführen, wegführen	Verb
Tobeias	Tobeias	Noun, proper
Trakauneitidaus	Trakauneitidaus	Noun, proper
trauains	Vertrauen, Zuversicht	Noun, common, feminine
trauan	trauen, Zutrauen haben	Verb
ga-trauan	vertrauen	Verb
Trauadai	Trauadai	Noun, proper
trausti	Bündnis, Bund	Noun, common, neuter
triggwa	Bündnis, Bund	Noun, common, feminine
triggws	treu, zuverlässig	Adjective
triggwaba	treulich, zuverlässig	Adverb, Comparative
trigo	Trauer	Noun, common, feminine
ana-trimpan	einen bedrängen	Verb
triu	Holz, Prügel	Noun, common, neuter
triweins	hölzern	Adjective
trudan	treten	Verb
ga-trudan	zertreten	Verb
in-trusgjan	einpfropfen	Verb
ufar-trusnjan	überstreuen	Verb
tuggl	Gestirn	Noun, common, neuter
tuggo	Zunge	Noun, common, feminine
tulgiþa	Festigkeit, Sicherheit; Fundament ; Feste, Bollwerk	Noun, common, feminine
tulgjan	festigen, stärken	Verb
ga-tulgjan	befestigen, bestärken	Verb
tulgus	fest, beständig	Adjective
tundnan	brennen	Verb
in-tundnan	verbrennen	Verb
tunþus	Zahn	Noun, common, masculine
twai	twai	Numeral, cardinal
twalibwintrus	zwölfjährig	Adjective
twalif	zwölf	Numeral, cardinal
tweifleins	das Zweifeln	Noun, common, feminine
tweifljan	zweifeln o. Zweifel erregen	Verb
tweifl	Zweifel	Noun, common
tweihnai	zwischen beiden Grenzen	Numeral, other
twisstass	Zwistigkeit	Noun, common, feminine
Twkeikus	Twkeikus	Noun, proper
Twra*	Twra*	Noun, proper
Þaddaius	Þaddaius	Noun, proper
þadei	wohin	Adverb
þagk*	Dank	<none>
þagkjan	denken, überlegen	Verb
and-þagkjan	mir fällt ein, was ich tun soll	Verb
bi-þagkjan	etw. bedenken	Verb
þahains	das Schweigen	Noun, common, feminine
þahan	schweigen	Verb
ga-þahan	verstummen	Verb
þāho	Lehm	Noun, common, feminine
Þaiaufeilus	Þaiaufeilus	Noun, proper
þairh	durch	Preposition, +A
þairko	Loch, Nadelöhr	Noun, common, neuter
ga-þairsan	verdorren	Verb
Þaissaloneikai	Þaissaloneikai	Noun, proper
Þaissalauneikaie	Þaissalauneikaie	Noun, proper
þan	dann, darauf	Adverb, temporal
þanamais	weiter, noch mehr	Adverb
þanaseiþs	weiter, noch	Adverb
þande	so lange als	Conjunction
þanei	wann	Conjunction
uf-þanjan	ausdehnen, sich ausstrecken	Verb
þank	Dank	Noun, common
þannu	ja, wohl, also darum	Adverb
þanuh	þanuh	Adverb
þar	dort	Adverb, locative
Þara	Þara	Noun, proper
þarba	Mangel, Armut	Noun, common, feminine
ga-þarban	sich enthalten	Verb
þarbs	nötig	Adjective
þarei	wo	Adverb
þarf	nötig haben, bedürfen, Mangel leiden	<none>
þarihs*	ungewalkt	Adjective
þaruh	da	Adverb
þata	der, dieser	<none>
þatain	das eine	Unassigned
þatainei	nur	Adverb
þatei	daß	Conjunction
þat-ist	das ist, nämlich	Unassigned
þatuh	der u. kein andrer, eben der	<none>
þaþro	daher, von da	Adverb
þaþroei	von wannen	Adverb
þaþroh	von da, daher	Adverb
þau	als	Unassigned
þauhjabai	wenn auch	Conjunction
þaurban*	nötig haben, bedürfen, Mangel leiden	Verb
þaurfts	nötig	Adjective
þaurfts	Bedürfnis, Not	Noun, common, feminine
þaurneins	von Dornen	Adjective
þaurnus	Dorn	Noun, common, masculine
þaurp	bebautes Land, Acker	Noun, common, neuter
þaursjan	mich dürstet	Verb
af-þaursjan	dursten	Verb
ga-þaursnan	verdorren, vertrocknen	Verb
þaurstei	Durst	Noun, common, feminine
þaursus	dürr	Adjective
þe	um so	Unassigned
þeei	darum, daß	Unassigned
þei	so lange als	Particle
þeihan	gedeihn, Fortschritte machen	Verb
ga-þeihan	vorwärtskommen	Verb
ufar-þeihan	übertreffen	Verb
þeihs	Zeit	Noun, common, neuter
þeiƕo	Donner	Noun, common, feminine
þeins	dein	Pronoun, possesive
þewisa	Knechte	Noun, common, neuter
at-þinsan	heranziehn	Verb
þishun	meist, vorzüglich	Adverb
þisƕaduh	wohin auch immer	Adverb
þisƕah	wer auch immer	<none>
þisƕaruh	wo auch immer	Adverb
þisƕazuh	wer auch immer	Pronoun, indefinite
þiubi	Diebstahl	Noun, common, neuter
þiubjo	verstohlen, heimlich	Adverb
þiuda	Heiden	Noun, common, feminine
þiudangardi	Königsschloss	Noun, common, feminine
þiudanon	herrschen	Verb
miþ-þiudanon	mitherrschen mit	Verb
þiudans	König	Noun, common, masculine
þiudinassus	Regierung	Noun, common, masculine
þiudisko	heidnisch	Adverb
þiufs	Dieb	Noun, common, masculine
þiumagus	Knecht	Noun, common, masculine
þius*	Haussklave, Diener	Noun, common, masculine
þiuþ	das Gute, die gute Sache	Noun, common, neuter
þiuþeigs	gut, gepriesen	Adjective
þiuþeins	Güte	Noun, common, feminine
þiuqiss	Segen	Noun, common, feminine
þiuþjan	segnen	Verb
ga-þiuþjan	einem  den Segen geben	Verb
un-þiuþjan	fluchen	Verb
þiwadw	Knechtschaft	Noun, common
ana-þiwan	unterjochen, in Dienstbarkeit bringen	Verb
ga-þiwan	unterjochen, in Dienstbarkeit bringen	Verb
þiwi	Magd	Noun, common, feminine
þlahsjan	schrecken	Verb
ga-þlahsnan	erschrecken	Verb
ga-þláihan	ermahnen	Verb
þlaqus	zart	Adjective
þlauhs	Flucht	Noun, common, masculine
þliuhan	þliuhan	Verb
af-þliuhan	wegfliehn	Verb
ga-þliuhan	die Flucht ergreifen, entfliehn	Verb
unþa-þliuhan	entfliehn, einem entrinnen	Verb
Þomas	Þomas	Noun, proper
þrafsteins	Tröstung	Noun, common, feminine
þrafstjan	trösten, mahnen	Verb
ana-þrafstjan	erquicken	Verb
ga-þrafstjan	ga-þrafstjan	Verb
þragjan	laufen	Verb
bi-þragjan	herbeilaufen	Verb
þramstei	Heuschrecke	Noun, common, feminine
þrasabalþei*	Streitsucht	Noun, common, feminine
þreihan	drängen	Verb
ga-þreihan	bedrängen	Verb
þreihsl	Teich	Noun, common, neuter
þreis*	drei	Numeral, cardinal
þridja	der dritte	Numeral, ordinal
þriskan	dreschen	Verb
us-þriutan	einem Beschwerde bringen	Verb
þroþjan	üben	Verb
us-þroþjan	Übung, Stählung	Verb
þrūtsfill	Aussatz	Noun, common, neuter
þrutsfills	aussätzig	Adjective
þu	du	Pronoun, personal
þuei	der du	Pronoun, personal, relative
þugkjan	glauben, meinen; gelten	Verb
þuhtus	Gewissen	Noun, common, masculine
þulains	das Dulden, Leiden, die Geduld	Noun, common, feminine
þulan	dulden	Verb
ga-þulan	erdulden	Verb
us-þulan	erdulden, ertragen	Verb
þūsundi	tausend	Noun, common, feminine
þusundifaþs	Anführer von Tausend	Noun, common, masculine
þuthaurn	Trompete	Noun, common, neuter
þuthaurnjan	trompeten	Verb
þwahan	etw. waschen	Verb
af-þwahan	sich abwaschen	Verb
bi-þwahan	sich abwaschen	Verb
us-þwahan	etwas auswaschen, abwaschen	Verb
þwahl	Bad, Taufe	Noun, common, neuter
þwairhei	Zorn, Streit, Streitigkeit	Noun, common, feminine
þwairhs	zornig	Adjective
þwastiþa	Sicherheit	Noun, common, feminine
ga-þwastjan	befestigen	Verb
þwmiama	Rauchopfer	Noun, common, masculine
-u	-u	Particle, enclitic
ubils	übel, böse	Adjective
ubiltojis	übeltäterisch	Adjective
ubilwaurdjan	schmähn	<none>
ubilwaurds	schmähsüchtig	Adjective
ubizwa*	Halle	Noun, common, feminine
uf	unter	Preposition, +AD
ufaiþeis*	durch Eid verpflichtet, verbunden	Adjective
ufar	über	Preposition, +AD
ufarassjan	überfließend, überschwänglich machen	Verb
ufarassus	Überfluß, Übermaß	Noun, common, masculine
ufarfullei	Überfülle, Überfluß	Noun, common, feminine
ufarfulls	übervoll	Adjective
ufargudja	Oberpriester	Noun, common, masculine
ufarhauseins	das Überhören, der Ungehorsam	Noun, common, feminine
ufarhiminakunds	himmlisch	Adjective
ufarjaina	darüber hinaus	Unassigned
ufarmaudei	Vergessenheit	Noun, common, feminine
ufarmeleins	Überschrift	Noun, common, feminine
ufarmeli	Überschrift	Noun, common, neuter
ufaro	darüber	Adverb
ufarranneins	Besprengung	Noun, common, feminine
ufarskafts	Erstlingsfrucht	Noun, common, feminine
ufarswara*	Meineidiger	Noun, common, masculine
ufhauseins	Gehorsam	Noun, common, feminine
ufhnaiweins	Unterordnung, Gehorsam	Noun, common, feminine
Ufitahari	Ufitahari	Noun, proper
ufjo	es ist überflüssig für mich euch zu schreiben	Unassigned
ufkunþi	Erkenntnis	Noun, common, neuter
ufswalleins	Aufgeblasenheit, Hochmut	Noun, common, feminine
ufta	oft	Adverb, temporal
ufto	vielleicht	Adverb
ufwaira	die verheiratete Frau	Unassigned
ugkis	uns beide	Pronoun, personal
-uh	und, nun, also	Particle, enclitic
uhtedun	sich fürchten vor 	<none>
uhteigs	Zeit habend	Adjective
uhteigo	zur rechten Zeit	Adverb, Comparative
uhtiugs	gelegen	Adjective
uhtwo	Morgendämmerung	Noun, common, feminine
ulbandus	Kamel	Noun, common
unagands	furchtlos	Participle, present
unagein	furchtlos	Unassigned
unairkns	unheilig, gottlos	Adjective
unaiwisks	der sich nicht zu schämen braucht, ohne Schande	Adjective
unanasiuniba	unsichtbar	Adverb
unandhuliþs*	unenthüllt	Participle, past
unandsakans	unbestritten	Participle, past
unandsoks*	unbestreitbar	Adjective
unatgāhts	unzugänglich	Adjective
unbairands	nicht tragend	Participle, present
unbarnahs	kinderlos	Adjective
unbaurans	ungeboren	Participle, past
unbeistei*	das Ungesäuertsein	Noun, common, feminine
unbeistjoþs*	ungesäuert	Participle, past
unbiari*	wildes Tier, Bestie	Noun, common, neuter
unbilaistiþs*	unaufspürbar, unbegreiflich	Participle, past
unbimait	Nichtbeschneidigung, Vorhaut	Noun, common, neuter
unbimaitans	unbeschnitten	Participle, past
unbrūks	unbrauchbar	Adjective
und	bis zu	Preposition, +AD
undar	unter etw	Preposition, +A
[undaristo]	das Innere	Adjective, Superlative
undarleija	der Allergeringste	Noun, common, masculine
undaro	unter	Preposition, +D
undaurnimats	Frühstück	Noun, common, masculine
undiwanei	Unsterblichkeit	Noun, common, feminine
unfagrs	unpassend, undankbar	Adjective
unfairina	tadellos	Adjective
unfairinodaba	untadelig	Adverb
unfairlaistiþs	unaufspürbar, unerforschlich	Participle, past
unfaurs	geschwätzig	Adjective
unfaurweis	unvorsätzlich, ohne Vorbedacht	Adjective
unfraþjands	unverständig	Participle, present
unfreideins	Schonungslosigkeit, Härte	Noun, common, feminine
unfrodei	Unverstand, Torheit	Noun, common, feminine
unfroþs	unverständig	Adjective
ungafairinonds	tadellos; unbescholten	Participle, present
ungafairinoþs	tadellos	Participle, past
ungahabands	zügellos, sich nicht beherrschend	Participle, present
ungahobains	Unmäßigkeit, Unenthaltsamkeit	Noun, common, feminine
ungaƕairbs	unfügsam, ungehorsam	Adjective
ungakusans	nicht probehaltig, verwerflich	Participle, past
ungalaubeins	Unglaube, Ungehorsam	Noun, common, feminine
ungalaubjands	ungläubig, ungehorsam	Participle, present
ungalaufs	wertlos	Adjective
ungaraihtei	Gesetzlosigkeit, Ungerechtigkeit	Noun, common, feminine
ungasaiƕans	ungesehn, unsichtbar	Participle, past
ungastoþs	ohne festen Stand, ohne bleibende Stätte	Adjective
ungatass	ungeordnet, zügellos	Adjective
ungatewiþs*	ungeordnet	Participle, past
ungawagiþs*	unbewegt, unbeweglich	Participle, past
unhabands	nicht habend	Participle, present
unhaili	Schwäche, Krankheit	Noun, common, neuter
unhails	krank	Adjective
unhanduwaurhts	nicht mit der Hand gemacht	Adjective
unhindarweis	ungeheuchelt	Adjective
unhrainei	Unreinigkeit	Noun, common, feminine
unhrainiþa	Unreinigkeit	Noun, common, feminine
unhrains	unrein; ungebildet	Adjective
unhulþa	Unhold, Teufel	Noun, common, masculine
unhulþo	Unholdin, Dämon	Noun, common, feminine
unhunslags	ohne Opfer, unversöhnlich	Adjective
unƕapnands	unauslöschlich	Participle, present
unƕeila	unablässig	Adjective
unkarja	sorglos	Adjective
unkaureins*	unkaureins*	Noun, common, feminine
unkja	Unze	Noun, common, masculine
unkunnands	nicht kennend, unwissend	Participle, present
unkunþi	Unkunde	Noun, common, neuter
unkunþs	unbekannt	Adjective
unledi	Armut	Noun, common, neuter
unleþs*	arm	Adjective
unliufs*	ungeliebt, unlieb	Adjective
unliugaiþs*	unverheiratet	Participle, past
unliugands	nicht lügend	Participle, present
unliuts	ungeheuchelt, ohne Falsch	Adjective
unlustus	Unlust	Noun, common, masculine
unmahteigs	ohnmächtig, schwach	Adjective
unmahts	Ohnmacht, Schwäche, Krankheit	Noun, common, feminine
unmanariggwai	ungezähmt, wild oder unfreundlich, barsch	Adjective
unmanwus	unvorbereitet	Adjective
unmildjai	lieblos	Adjective
unnutjans	unnütz, töricht	Adjective
unqeniþs*	unbeweibt	Participle, past
unqeþs*	unaussprechlich	Adjective
unriurei	Unvergänglichkeit	Noun, common, feminine
unriureis*	unvergänglich	Adjective
unriurs*	unriurs*	Adjective
unrodjands	nicht redend, stumm	Participle, present
[unsahtaba]	unbestritten	Adverb
unsaiƕands	nicht sehend	Participle, present
unsaltans	ungesalzen	Participle, past
unsar	unser	Pronoun, possesive
unselei	Bosheit, Schlechtigkeit	Noun, common, feminine
unsels	übel, böse	Adjective
unsibjis*	ungesetzlich, gottlos	Adjective
unskaus*	laßt uns nüchtern sein	Adjective
unsuti*	Aufstand	Noun, common, neuter
unsweibands	unaufhörlich	Participle, present
unswerei	Unehre	Noun, common, feminine
unsweriþa	Unehre	Noun, common, feminine
unswers	nicht geachtet, verachtet	Adjective
unswikunþs*	unbekannter	Adjective
untals	unfügsam, unbotmäßig, ungehorsam	Adjective
unte	bis, so lange als	Conjunction
untilamalsks	voreilig, unbesonnen	Adjective
untriggws	untreu	Adjective
unþiuda	Unvolk, Nicht	Noun, common, feminine
unþiuþ	das Böse	Noun, common, neuter
unþwahans	ungewaschen	Participle, past
unufbrikands	unanstößig	Participle, present
unuhteigo	zur Unzeit	Adverb
unuslaisiþs	unbelehrt	Participle, past
unusspilloþs*	nicht auszuerzählen, unerforschlich	Participle, past
unwahs	tadellos	Adjective
unwairþaba	unwürdig	Adverb
unwammei	Unbeflecktheit	Noun, common, feminine
unwamms	fleckenlos, tadellos	Adjective
unwaurstwo	untätig, müßig	Noun, common, feminine
unweis	ungebildet, unwissend	Adjective
unweniggo	unerwartet, plötzlich	Adverb
unwerein	Unwille	Noun, common, feminine
[unwiss*]	ungewiß, ins ungewisse	Adjective
unwita	Unwissender, Unverständiger	Noun, common, masculine
unwitands	unwissend	Participle, present
unwiti	Unwissenheit, Unverstand	Noun, common, neuter
unwunands	beängstigt, bekümmert	Participle, present
ur	aus, von 	<none>
urrists	Auferstehung	Noun, common, feminine
urrugks	verworfen	Adjective
urruns	Abtritt	Noun, common, masculine
urruns	Ausgang	Noun, common, feminine
us	aus, von 	Preposition, +D
usbalþei	Frechheit; fortwährende Zänkerei	Noun, common, feminine
usbeisnei	Geduld, Langmut	Noun, common, feminine
usbeisneigs	geduldig, langmütig	Adjective
usbeisns	Erwartung; Geduld, Langmut	Noun, common, feminine
us-bloteins	Bitte, Flehn	Noun, common, feminine
usdaudei	Ausdauer; Eifer	Noun, common, feminine
usdauþs*	eifrig	Adjective
usdaudoza	usdaudoza	Adjective, Comparative
usdaudo	eifrig	Adverb
usdrusts	rauhe Wege	Noun, common, feminine
usfairina	tadellos	Adjective
usfarþo	Ausfahrt	Noun, common, feminine
usfilh	Begräbnis	Noun, common, neuter
usfilma	sie entsetzten sich über	Adjective
usfilmei	Entsetzen	Noun, common, feminine
usfodeins	Nahrung	Noun, common, feminine
usfulleins	Erfüllung	Noun, common, feminine
usgrudja	mutlos	Adjective
ushaista	Mangel leidend	Adjective
uskunþs	bekannt, offenbar	Adjective
uslauseins	Erlösung	Noun, common, feminine
usliþa	gichtbrüchig, Gichtbrüchiger	Adjective
†uslukns	erschließen, öffnen	<none>
usluk*	Eröffnung, Öffnung	Noun, common, neuter
usluneins*	Erlösung	Noun, common, feminine
usmet*	Lebensführung; Lebenswandel	Noun, common, neuter
usqiss	Beschuldigung, Anklage	Noun, common, feminine
ussateins	Ursprung	Noun, common, feminine
ussindo	am meisten, besonders	Adverb
[usskawai]	laßt uns nüchtern sein	<none>
usstass	Auferstehung	Noun, common, feminine
usstiurei	Zügellosigkeit, Lüderlichkeit	Noun, common, feminine
usstiuriba	zügellos	Adverb
ustaikneins	Auszeichnung, Bezeichnung; Bekanntmachung; Anzeichen, Beweis	Noun, common, feminine
ustauhts	Vollendung, Vervollkommnung; Ende; Erfüllung	Noun, common, feminine
usþroþeins	Übung, Stählung	Noun, common, feminine
usþulains	Geduld	Noun, common, feminine
uswahsans	erwachsen	Participle, past
uswahsts	Wachstum	Noun, common, feminine
uswalteins	Umwälzung; Zusammensturz; Zerstörung; Untergang	Noun, common, feminine
uswandi*	das Abwenden, Irreleiten	Noun, common, feminine
uswaurhts	gerecht	Adjective
uswaurhts	Gerechtigkeit	Noun, common, feminine
uswaurpa	Auswurf; Verwerfung; Fehlgeburt	Noun, common, feminine
usweihs	außer der Weihe	Adjective
uswena	hoffnungslos	Adjective
uswiss	losgebunden	Adjective
uswissi*	Leichtfertigkeit, Eitelkeit	Noun, common, neuter
ūt	hinaus, heraus	Adverb, directional
ūta	außerhalb, draußen	Adverb, locative
ūtana	von außen, außen	Adverb, directional
ūtaþro	von außen	Adverb, directional
uzeta*	Krippe	Noun, common, masculine
uz-u, uz-uh	aus, von 	<none>
wadi	Pfand	Noun, common, neuter
wadjabokos	Handschein, Schuldschein	Noun, common, feminine
ga-wadjon	zusammenfügen, verloben	Verb
waggarja	Kopfkissen	Noun, common
waggs*	Paradies	Noun, common, masculine
wagjan	schütteln	Verb
af-wagjan	bewegen, abbringen	Verb
ga-wagjan	einen in Bewegung setzen	Verb
in-wagjan	erregen, aufwiegeln	Verb
us-wagjan	erregen	Verb
wahsjan	wachsen	Verb
ufar-wahsjan	überaus wachsen, sich stark vermehren	Verb
us-wahsjan*	erwachsen	<none>
wahstus	Wuchs	Noun, common, masculine
wahtwom	Wache	Noun, common, feminine
wai	wehe	Interjection
waian	wehn	Verb
bi-waibjan	umwinden, umgeben, umkleiden	Verb
waidedja	Übeltäter, Räuber	Noun, common, masculine
waihjo	Kampf	Noun, common, feminine
waihsta	Winkel, Ecke	Noun, common, masculine
waihstastains	Eckstein	Noun, common, masculine
waiht	nichts	Noun, common, neuter
waihts	Ding, Sache, Etwas	Noun, common
wáila	wohl, gut	Adverb
wailadeþs*	Wohltat	Noun, common, feminine
wailamerei*	guter Ruf	Noun, common, feminine
wailamereins	Verkündigung	Noun, common, feminine
wailamereis	wohllautend, löblich	Adjective
wailaqiss	Segen	Noun, common, feminine
wailawizns	victus, gute Nahrung	Noun, common, feminine
wainahs	elend, geplagt	Adjective
wainei	daß doch, wenn doch	Interjection
faur-waipjan	verbinden	Verb
waips	Kranz	Noun, common, masculine
wair	Mann	Noun, common, masculine
wairaleiko	männlich	Adverb
wairdus	Gastfreund, Hauswirt	Noun, common, masculine
wairilom	Lippe	Noun, common, feminine
wairpan	werfen	Verb
af-wairpan	etw. wegwerfen	Verb
at-wairpan	hinwerfen	Verb
fra-wairpan	verwerfen, zerstreuen	Verb
ga-wairpan	hinwerfen	Verb
inn-wairpan	hineinwerfen	Verb
us-wairpan	hinauswerfen, wegwerfen, austreiben	Verb
wairs	schlimmer	Adverb, Comparative
wairsiza	schlimmer	Adjective, Comparative
wairþ	Preis	Noun, common
wairþan	werden	Verb
fra-wairþan	verderben	Verb
wairþida	Tüchtigkeit, Fähigkeit	Noun, common, feminine
ga-gáwairþjan	versöhnen mit	Verb
ga-gáwairþnan	sich versöhnen mit	Verb
wairþon	schätzen	Verb
wairþs	wert, würdig, tauglich	Adjective
wait	auf etw. sehn, acht geben, es bewachen, hüten, etw. halten	<none>
waitei	vielleicht, etwa	Adverb
wajamerei	schlechter Ruf	Noun, common, feminine
wajamereins	Lästerung	Noun, common, feminine
wakan	wachen	Verb
þairh-wakan	durchwachen	Verb
us-wakjan	erwecken	Verb
ga-waknan	erwachen	Verb
waldan	walten	Verb
ga-waldan	sich der Herrschaft bemächtigen, einen vergewaltigen	Verb
waldufni	Gewalt, Macht über	Noun, common, neuter
walisa	echt, lauter	Adjective
waljan	wählen	Verb
ga-waljan	erwählen	Verb
waltjan	sich wälzen	Verb
us-waltjan	etw. umwälzen, umstürzen	Verb
us-walugjan	hin und her wälzen	Verb
walus	Stab	Noun, common, masculine
walwison	sich wälzen	Verb
af-walwjan	wegwälzen	Verb
at-walwjan	hinzuwälzen	Verb
faur-walwjan	vorwälzen	Verb
wamba	Bauch, Schoß	Noun, common, feminine
wamme	Fleck	Noun, common
ana-wammjan	beflecken	Verb
wan	Mangel	Noun, common, neuter
wanains	Mangel	Noun, common, feminine
wandjan	wenden	Verb
af-wandjan	abwenden	Verb
at-wandjan	zuwenden	Verb
bi-wandjan	vermeiden	Verb
ga-wandjan	wenden	Verb
in-wandjan	verdrehn	Verb
us-wandjan	sich wegwenden	Verb
wandus	Rute	Noun, common, masculine
